,,human,,,,,,,,phaeaco,,,,,,,
,bp,correct,ctime,sdev,incorrect,itime,no answer,ntime,sample,correct,ctime,sdev,incorrect,itime,no answer,ntime,sample
,1,31,6.9,5.1,0,None,0,None,31,100,7,0.4,0,None,0,None,100
,2,28,13.6,9.6,0,None,0,None,28,82,11.2,2.5,18,13.4,0,None,100
,3,28,7.9,6.1,0,None,0,None,28,99,4.3,0.2,1,8,0,None,100
,4,5,17.6,10.9,9,30.4,17,37.8,31,20,8.5,0.3,3,9.3,77,23.8,100
,5,28,11,9.1,2,5,1,16,31,60,8.9,2.8,18,16.6,22,21.5,100
,6,26,18.8,16.3,2,26.5,3,27.7,31,70,4.4,3.8,11,12.5,19,14.6,100
,7,27,11.5,12.3,0,None,3,25.7,30,,,,,,,,100
,8,24,21,20.9,0,None,7,23,31,,,,,,,,100
,9,31,10.5,7.3,0,None,0,None,31,,,,,,,,100
,10,27,12.2,9.7,2,27,2,26.5,31,,,,,,,,100
,11,15,23.7,13.7,6,38,10,30.6,31,83,16.3,6.4,4,21.3,13,23.7,100
,12,7,33.1,14.4,2,21.5,21,30.5,30,,,,,,,,100
,13,19,15.5,7,2,9.5,2,14,23,,,,,,,,100
,14,24,15,12.3,0,None,1,1,25,,,,,,,,100
,15,27,7.7,3.6,1,7,3,30.3,31,99,7.6,0.3,0,None,1,22.8,100
,16,9,29.4,20.2,5,27.4,10,21.6,24,,,,,,,,100
,17,6,35.5,23,3,15.7,14,12.9,23,,,,,,,,100
,18,8,16.1,6.5,2,27,13,13.2,23,,,,,,,,100
,19,10,18.7,10.7,0,None,12,12.1,22,,,,,,,,100
,20,5,21.4,6.2,2,26,15,16.3,22,,,,,,,,100
,21,20,25.1,16.3,8,31.4,2,42.5,31,34,16.6,3.4,20,43.4,46,40.1,100
,22,11,23.9,20.2,3,42,16,35,30,13,28.4,7.2,6,24,81,23.3,100
,23,30,9.4,5.4,1,20,0,None,31,83,8.5,2.5,4,19.5,13,22.5,100
,24,20,21,12.2,3,20,7,31.7,30,,,,,,,,100
,25,22,9.7,6.9,0,None,4,5.3,26,,,,,,,,100
,26,15,15.7,10.1,4,17,5,13.6,24,,,,,,,,100
,27,8,18.1,16,4,50.75,10,15.8,22,,,,,,,,100
,28,0,None,None,0,None,21,20.5,21,,,,,,,,100
,29,3,23.7,4.1,11,24.5,11,29.3,25,,,,,,,,100
,30,7,19.4,9.9,6,23.8,12,16.3,25,,,,,,,,100
,31,18,17.9,9.4,1,26,5,17.6,24,,,,,,,,100
,32,6,14.7,6.2,1,9,17,27.2,24,,,,,,,,100
,33,5,48.6,28.4,3,19.7,22,37.4,30,,,,,,,,100
,34,30,9.1,5.6,1,19,0,None,31,,,,,,,,100
,35,11,28.2,17.7,1,21,14,19,26,,,,,,,,100
,36,23,20.1,14.6,2,69,5,23.6,30,,,,,,,,100
,37,3,42,24.5,5,27.2,17,28.5,25,,,,,,,,100
,38,24,19.8,11,2,19,4,16.3,30,,,,,,,,100
,39,30,12.4,10,0,None,1,5,31,65,4.2,0.5,29,3.1,6,5.4,100
,40,15,29.1,12.1,11,25.5,4,29,30,,,,,,,,100
,41,14,26,11,1,15,11,12.7,26,,,,,,,,100
,42,15,12.1,5.8,1,44,7,17.4,23,,,,,,,,100
,43,14,14,11.1,3,16.7,5,19.8,22,,,,,,,,100
,44,6,14,10.1,2,16.5,13,19.9,21,,,,,,,,100
,45,29,15,12.9,0,None,2,42.5,31,,,,,,,,100
,46,15,17.7,11,3,45,8,16.5,26,,,,,,,,100
,47,31,11,4.1,0,None,0,None,31,,,,,,,,100
,48,26,21.8,16.2,1,63,3,33.7,30,,,,,,,,100
,49,23,19.3,8.4,0,None,4,7,27,,,,,,,,100
,50,7,22.7,6.7,5,21.4,16,30.5,28,,,,,,,,100
,51,19,32.1,21.8,2,28.5,9,34.3,30,,,,,,,,100
,52,16,20.6,16.1,0,None,6,15.7,22,,,,,,,,100
,53,7,29.3,10.9,5,41,14,33.3,26,,,,,,,,100
,54,1,38,None,2,9,17,16.6,20,,,,,,,,100
,55,6,25,10.1,2,40,10,13.4,18,,,,,,,,100
,56,22,14,13.1,4,25.3,5,25.8,31,19,30.4,7.2,17,20.1,64,34.9,100
,57,14,16.1,9.5,13,16.2,2,5.5,29,,,,,,,,100
,58,4,10,1.4,2,22,10,16.6,16,,,,,,,,100
,59,15,13.3,6.4,0,None,3,7.3,18,,,,,,,,100
,60,5,26.6,15.3,2,21,9,10.9,16,,,,,,,,100
,61,25,14.7,7.7,0,None,5,29.2,30,,,,,,,,100
,62,8,34,16,2,15.5,18,29.3,28,,,,,,,,100
,63,15,9.5,4.2,0,None,1,19,16,,,,,,,,100
,64,1,19,None,2,30.5,12,11.75,15,,,,,,,,100
,65,15,20.5,8,2,72,13,43.3,30,,,,,,,,100
,66,21,17.5,10.1,0,None,8,13.8,29,,,,,,,,100
,67,9,34.3,16.3,7,37.9,13,21.3,29,,,,,,,,100
,68,0,None ,None,3,17,11,15.7,14,,,,,,,,100
,69,15,10.5,5.3,0,None,1,18,16,,,,,,,,100
,70,19,28.4,17.9,3,21.3,7,29.9,29,,,,,,,,100
,71,15,34.6,14.3,6,42.2,9,41.8,30,,,,,,,,100
,72,4,39.5,19.8,3,57,23,30.2,30,,,,,,,,100
,73,0,None,None,1,8,14,15.2,15,,,,,,,,100
,74,11,12.2,5,3,10.7,1,2,15,,,,,,,,100
,75,26,16.6,9.2,0,None,4,32.25,30,,,,,,,,100
,76,9,11.4,5.2,1,17,4,7.3,14,,,,,,,,100
,77,18,29.6,22,3,24.3,9,31.2,30,,,,,,,,100
,78,8,32.4,14.5,0,None,22,29,30,,,,,,,,100
,79,1,26,None,0,None,15,11.6,16,,,,,,,,100
,80,1,26,None,0,None,14,11.5,15,,,,,,,,100
,81,13,13.7,6.2,6,29,12,55,31,,,,,,,,100
,82,0,None,None,1,66,29,34.9,30,,,,,,,,100
,83,22,23.6,11.4,2,16,6,19.5,30,,,,,,,,100
,84,31,12.6,7.6,0,None,0,None,31,,,,,,,,100
,85,27,20.5,8.1,2,34.5,1,2,30,94,11.5,4.3,0,None,6,13.1,100
,86,8,45.3,25.6,8,43.6,15,26.7,31,,,,,,,,100
,87,16,33.4,16.9,2,40,12,29.8,30,,,,,,,,100
,88,16,21.6,16,0,None,14,17.6,30,,,,,,,,100
,89,6,35.7,24.2,5,62,19,30.8,30,,,,,,,,100
,90,2,36,19.8,0,None,12,17.7,14,,,,,,,,100
,91,18,32,15.4,0,None,12,22.8,30,,,,,,,,100
,92,6,21,12.6,0,None,9,11.1,15,,,,,,,,100
,93,3,27.7,2.5,0,None,17,15.4,20,,,,,,,,100
,94,15,7.5,3.8,0,None,0,None,15,,,,,,,,100
,95,30,8.4,5.1,0,None,1,17,31,,,,,,,,100
,96,25,16.9,13.3,0,None,5,16,30,,,,,,,,100
,97,29,8.7,5.6,0,None,2,18,31,,,,,,,,100
,98,9,12.1,8.7,3,13.7,4,19.3,16,,,,,,,,100
,99,9,19.8,9.5,1,19,6,8.3,16,,,,,,,,100
,100,14,5.4,3.3,0,None,0,None,14,,,,,,,,100
,101,,,,,,,,,,,,,,,,100
,102,,,,,,,,,,,,,,,,100
,103,,,,,,,,,,,,,,,,100
,104,,,,,,,,,,,,,,,,100
,105,,,,,,,,,,,,,,,,100
,106,,,,,,,,,,,,,,,,100
,107,,,,,,,,,,,,,,,,100
,108,,,,,,,,,,,,,,,,100
,109,,,,,,,,,,,,,,,,100
,110,,,,,,,,,,,,,,,,100
,111,,,,,,,,,,,,,,,,100
,112,,,,,,,,,,,,,,,,100
,113,,,,,,,,,,,,,,,,100
,114,,,,,,,,,,,,,,,,100
,115,,,,,,,,,,,,,,,,100
,116,,,,,,,,,,,,,,,,100
,117,,,,,,,,,,,,,,,,100
,118,,,,,,,,,,,,,,,,100
,119,,,,,,,,,,,,,,,,100
,120,,,,,,,,,,,,,,,,100
,121,,,,,,,,,,,,,,,,100
,122,,,,,,,,,,,,,,,,100
,123,,,,,,,,,,,,,,,,100
,124,,,,,,,,,,,,,,,,100
,125,,,,,,,,,,,,,,,,100
,126,,,,,,,,,,,,,,,,100
,127,,,,,,,,,,,,,,,,100
,128,,,,,,,,,,,,,,,,100
,129,,,,,,,,,,,,,,,,100
,130,,,,,,,,,,,,,,,,100
,131,,,,,,,,,,,,,,,,100
,132,,,,,,,,,,,,,,,,100
,133,,,,,,,,,,,,,,,,100
,134,,,,,,,,,,,,,,,,100
,135,,,,,,,,,,,,,,,,100
,136,,,,,,,,,,,,,,,,100
,137,,,,,,,,,,,,,,,,100
,138,,,,,,,,,,,,,,,,100
,139,,,,,,,,,,,,,,,,100
,140,,,,,,,,,,,,,,,,100
,141,,,,,,,,,,,,,,,,100
,142,,,,,,,,,,,,,,,,100
,143,,,,,,,,,,,,,,,,100
,144,,,,,,,,,,,,,,,,100
,145,,,,,,,,,,,,,,,,100
,146,,,,,,,,,,,,,,,,100
,147,,,,,,,,,,,,,,,,100
,148,,,,,,,,,,,,,,,,100
,149,,,,,,,,,,,,,,,,100
,150,,,,,,,,,,,,,,,,100
,151,,,,,,,,,,,,,,,,100
,152,,,,,,,,,,,,,,,,100
,153,,,,,,,,,,,,,,,,100
,154,,,,,,,,,,,,,,,,100
,155,,,,,,,,,,,,,,,,100
,156,,,,,,,,,,,,,,,,100
,157,,,,,,,,,,,,,,,,100
,158,,,,,,,,,,,,,,,,100
,159,,,,,,,,,,,,,,,,100
,160,26,23.2,23.9,1,65,1,122,28,,,,,,,,100
,161,,,,,,,,,,,,,,,,100
,162,,,,,,,,,,,,,,,,100
,163,,,,,,,,,,,,,,,,100
,164,,,,,,,,,,,,,,,,100
,165,,,,,,,,,,,,,,,,100
,166,24,13.8,6.5,1,22,2,39,27,,,,,,,,100
,167,6,32.3,11.4,4,77.5,16,40.1,26,,,,,,,,100
,168,,,,,,,,,,,,,,,,100
,169,,,,,,,,,,,,,,,,100
,170,,,,,,,,,,,,,,,,100
,171,,,,,,,,,,,,,,,,100
,172,,,,,,,,,,,,,,,,100
,173,26,23.7,17.7,0,None,1,16,27,,,,,,,,100
,174,,,,,,,,,,,,,,,,100
,175,,,,,,,,,,,,,,,,100
,176,,,,,,,,,,,,,,,,100
,177,,,,,,,,,,,,,,,,100
,178,,,,,,,,,,,,,,,,100
,179,,,,,,,,,,,,,,,,100
,180,,,,,,,,,,,,,,,,100
,181,,,,,,,,,,,,,,,,100
,182,,,,,,,,,,,,,,,,100
,183,,,,,,,,,,,,,,,,100
,184,,,,,,,,,,,,,,,,100
,185,,,,,,,,,,,,,,,,100
,186,,,,,,,,,,,,,,,,100
,187,,,,,,,,,,,,,,,,100
,188,,,,,,,,,,,,,,,,100
,189,,,,,,,,,,,,,,,,100
,190,,,,,,,,,,,,,,,,100
,191,,,,,,,,,,,,,,,,100
,192,,,,,,,,,,,,,,,,100
,193,,,,,,,,,,,,,,,,100
,194,,,,,,,,,,,,,,,,100
,195,,,,,,,,,,,,,,,,100
,196,,,,,,,,,,,,,,,,100
,197,,,,,,,,,,,,,,,,100
,198,,,,,,,,,,,,,,,,100
,199,,,,,,,,,,,,,,,,100
,200,,,,,,,,,,,,,,,,100
